"ID","CodigoEstacion","CodigoSensor","FechaObservacion","ValorObservado","NombreEstacion","Departamento","Municipio","ZonaHidrografica","Latitud","Longitud","DescripcionSensor","UnidadMedida"
47878,21205523,27,"2024 Jan 17 11:00:00 PM","78,08943","UNIVERSIDAD SANTO TOMÁS","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,78815722","-74,05005889","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47879,21205509,27,"2024 Jan 17 10:00:00 AM","64,67953","EL DESTINO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,39666778","-74,6283125","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47880,21205512,27,"2024 Jan 17 06:00:00 AM","50,09446","EL SOCHE","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,46931639","-74,07945417","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47881,35025502,27,"2024 Jan 17 08:00:00 AM","73,75996","LA ESMERALDA-","BOGOTÁ","BOGOTA D.C","META","4,55966194","-73,99972222","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47882,21205512,27,"2024 Jan 17 05:00:00 PM","75,56821","EL SOCHE","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,46931639","-74,07945417","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47883,21205523,27,"2024 Jan 17 12:00:00 AM","76,99964","UNIVERSIDAD SANTO TOMÁS","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,78815722","-74,05005889","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47884,21205509,27,"2024 Jan 17 07:00:00 PM","92,62562","EL DESTINO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,39666778","-74,6283125","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47885,35025502,27,"2024 Jan 17 09:00:00 PM","87,76814","LA ESMERALDA-","BOGOTÁ","BOGOTA D.C","META","4,55966194","-73,99972222","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47886,21205509,27,"2024 Jan 17 07:00:00 AM","73,48876","EL DESTINO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,39666778","-74,6283125","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47887,21205512,27,"2024 Jan 17 12:00:00 AM","47,45195","EL SOCHE","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,46931639","-74,07945417","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47888,21205509,27,"2024 Jan 17 10:00:00 PM","91,897","EL DESTINO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,39666778","-74,6283125","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47889,21205512,27,"2024 Jan 17 10:00:00 PM","93,37892","EL SOCHE","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,46931639","-74,07945417","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47890,21205523,27,"2024 Jan 17 10:00:00 PM","69,90244","UNIVERSIDAD SANTO TOMÁS","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,78815722","-74,05005889","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47891,21205512,27,"2024 Jan 17 06:00:00 PM","84,05231","EL SOCHE","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,46931639","-74,07945417","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47892,21205512,27,"2024 Jan 17 11:00:00 AM","63,52112","EL SOCHE","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,46931639","-74,07945417","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47893,21205512,27,"2024 Jan 17 11:00:00 PM","94,15495","EL SOCHE","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,46931639","-74,07945417","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47894,21205512,27,"2024 Jan 17 02:00:00 AM","42,24482","EL SOCHE","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,46931639","-74,07945417","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
47895,21205509,27,"2024 Jan 17 11:00:00 AM","62,65266","EL DESTINO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,39666778","-74,6283125","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
